Atlas summary mode: families=['overlap'] | burden=14 | overlap=12 | z=17 | total=12
Fold 1/10: model=clinical_only | test_n=66 | events=14 | C-index=0.732 | features=11
Fold 2/10: model=clinical_only | test_n=65 | events=13 | C-index=0.535 | features=11
Fold 3/10: model=clinical_only | test_n=65 | events=13 | C-index=0.539 | features=11
Fold 4/10: model=clinical_only | test_n=65 | events=13 | C-index=0.638 | features=11
Fold 5/10: model=clinical_only | test_n=65 | events=13 | C-index=0.577 | features=11
Fold 6/10: model=clinical_only | test_n=65 | events=13 | C-index=0.617 | features=11
Fold 7/10: model=clinical_only | test_n=65 | events=13 | C-index=0.632 | features=11
Fold 8/10: model=clinical_only | test_n=65 | events=13 | C-index=0.627 | features=11
Fold 9/10: model=clinical_only | test_n=65 | events=13 | C-index=0.548 | features=11
Fold 10/10: model=clinical_only | test_n=65 | events=14 | C-index=0.760 | features=11
Model clinical_only: OOF C-index=0.617
Fold 1/10: model=clinical_plus_tumor | test_n=66 | events=14 | C-index=0.819 | features=36
Fold 2/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.626 | features=36
Fold 3/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.734 | features=36
Fold 4/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.633 | features=36
Fold 5/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.622 | features=36
Fold 6/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.572 | features=36
Fold 7/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.568 | features=36
Fold 8/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.665 | features=36
Fold 9/10: model=clinical_plus_tumor | test_n=65 | events=13 | C-index=0.606 | features=36
Fold 10/10: model=clinical_plus_tumor | test_n=65 | events=14 | C-index=0.756 | features=36
Model clinical_plus_tumor: OOF C-index=0.659
