study_idx,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,ndv,ndp
p_0,0.9734667960789056,0.7901350740114574,0.6565318023880564,0.8644390577975939,0.3457556900025291,0.7592970599565244,0.8001541722304195,0.8326917069853856,0.8104212849079528,0.7624987418142051,0.7788484118005913,0.8220958548007152,0.7291151736798932,0.8899032635948834,0.8036521417432181,0.7984189704756592,0.7174377198667696,0.7060810751175585,0.8217299570835708,0.17391300567108572,0.2735042711666302,0.7831657473887118,0.6373427304022617,0.8228805763820402,0.4627192931719376,0.7154609526163965,0.8089655764847828,0.8842542034918901,0.7937490774085965,0.7551646545764321,0.7502477682104862,0.8130841114587221,0.8223946302738633,0.6163434860364024,0.8292204892390018,0.49180319806504946,0.33821137936413515,0.0,0.0016542597050929718,0.0,0.411960126047174,0.0,0.0,0.0,0.0,0.0,4.326766441955422e-05,0.0
p_1,0.9732759253417418,0.7909489471371888,0.6596652801065697,0.8111502342657569,0.17704917742542334,0.7904419741059383,0.824964175686761,0.8561567349222634,0.8052911351152292,0.7476761866252525,0.6894654074499501,0.639513105620257,0.8293051343857532,0.9126894441450595,0.8004987523494161,0.7752862576925423,0.6216216187249691,0.6266025590817103,0.8364200182303213,0.0,0.2860020112185095,0.7919155809766275,0.6663079981103882,0.771163477484881,0.1329011323678909,0.7955473457137012,0.8598185688508021,0.8915240664007185,0.7812362022282161,0.7763508999530097,0.6488011270425124,0.790411461434229,0.77312072716829,0.5449553840428594,0.8123187162495148,0.042553182435493095,0.3503368589957954,0.0,0.0017137960435835815,0.0,0.3829787132186513,0.0,0.0,0.0,0.0,0.0,7.234273073985017e-05,0.0
p_2,0.9751191109439359,0.8037722863717203,0.6760561767257333,0.865922055095191,0.4885177402033639,0.8029498189413002,0.8495896099911271,0.8544679824434568,0.8542161138610668,0.758054191638517,0.7361795272682552,0.7807708214638589,0.8256813593823279,0.8824552502205857,0.8230912468207209,0.8070082272179234,0.7217021245885016,0.6627810103015737,0.861835747959579,0.44776112719983174,0.34535104036668846,0.7872033148467377,0.6593626382663554,0.8344751087398218,0.5594913663988068,0.8139228806771238,0.8645526088135762,0.8898820159159325,0.8198757753582511,0.7234276894774451,0.716027872485401,0.8293589337985352,0.8352122791191838,0.6520270215200421,0.842928354175615,0.0540540394448542,0.3572710919455019,0.0,0.0025220680640344506,0.0,0.4578833594409642,0.0,0.0,0.0,0.0,0.0,0.00010636117597477674,0.0
p_3,0.969496646148016,0.7838839488012009,0.6328368553617897,0.8285807927299351,0.3706720939850092,0.7644336986192768,0.7191011235453829,0.8418727434718642,0.7975969091723689,0.7459459452507494,0.7439495612284939,0.8088737173758576,0.7386526499315513,0.8875229419802051,0.8153140495971974,0.8068210720111451,0.7207692279970414,0.6425765856828234,0.8232692627800058,0.12499997395833876,0.34711964293116954,0.7712916342446753,0.6234204810919499,0.8724228925975496,0.2739361665699978,0.7863817143163587,0.8214604522735948,0.8636494995297096,0.8053333323106878,0.6838432629416324,0.7040945531783568,0.8023583238275622,0.7504970160275919,0.525675672123813,0.8285439769162862,0.0,0.431805629863028,0.0,0.005905511752898506,0.0,0.09771986652378285,0.0,0.0,0.0,0.0,0.0,7.58510157399137e-05,0.0
p_4,0.9722945447765561,0.7912220822985085,0.6465883466194491,0.8829977570035032,0.4133949143949779,0.8109419130507977,0.8480626149465278,0.8304371882510032,0.8444444435875754,0.8028269808527223,0.8000845291629659,0.8127953441919471,0.828044839771908,0.8896247239059488,0.8247285610184705,0.8299763008590749,0.7134894064901917,0.6379781377187286,0.8316967784449167,0.338982993392713,0.38539042578469507,0.7923330480521409,0.6534758340629603,0.8667421665579662,0.5983224548152614,0.8185699355669294,0.8434722985381512,0.8726575337684068,0.8438888306189805,0.7963659715551381,0.7998200611789923,0.8298746858848375,0.8061673986614333,0.6432291624789768,0.8541686738755001,0.16326527280300554,0.4975609731826294,0.0,0.0035682426086686655,0.0,0.5772058717425391,0.0,0.0,0.0,0.0,0.0,1.4189293653808981e-05,0.0
p_5,0.9710484525374593,0.7861369559942164,0.6425109748037502,0.898635582053439,0.4119760429703468,0.7586599239068711,0.804682032407795,0.8575999995099429,0.8330855799181508,0.8023391805646971,0.7234355810467838,0.8252807499992667,0.7662305584640074,0.8621338022154558,0.8077922069852226,0.7551794550476234,0.6413084798733035,0.6742670954864243,0.8398453389907964,0.2461538082840295,0.33662064209979853,0.782671901779549,0.6426359365969679,0.9024968530566704,0.4426002705034541,0.7279264879904341,0.809544416694556,0.877019800883119,0.8487603297016939,0.8276342114090018,0.7784014948452245,0.8452003451088688,0.7903017776881563,0.6946502000440313,0.8349740649571568,0.23333329444445092,0.4694736817396122,0.0,0.001329787225200883,0.0,0.5445026082983838,0.0,0.0,0.0,0.0,0.0,1.396122256544585e-05,0.0
p_6,0.9662983714631288,0.7765449165967251,0.591200915290489,0.9051385338708148,0.43519394101046416,0.7281396142972192,0.8194096903637039,0.8003413935702183,0.8066362883436894,0.6378042458438071,0.5761360601218812,0.8073646584024055,0.8091971058609363,0.8554412366299742,0.8391760021330177,0.7681557255598809,0.6802721055380363,0.6570155828840136,0.802021903208816,0.32432428049671885,0.3711484567846747,0.7670295767170453,0.5822678156455471,0.8887712850951744,0.3155339767532285,0.7682545738965543,0.8420425908419843,0.8538579767268011,0.8033445533680698,0.6731336981514828,0.612679542811591,0.8278674294396431,0.7912816849294441,0.5828677785580282,0.8098339594442401,0.0,0.46161048473028793,0.0,0.0024257125383522586,0.0,0.09970674194408383,0.0,0.0,0.0,0.0,0.0,5.06528108591689e-05,0.0
p_7,0.9752986339907275,0.7960550187291334,0.6728695934889358,0.840328163873321,0.4897959138237856,0.8095721445635101,0.8401675295425804,0.8720834018025907,0.8276393516213212,0.7347650507206636,0.7157326114883353,0.7999999969696969,0.8040854209766288,0.8551874854583261,0.8193152574516968,0.7984366253533316,0.6893939364924497,0.5901360494036051,0.835190615019364,0.26470584342561126,0.4065484283318661,0.7937886656075571,0.6698343604562177,0.8778690408851351,0.30024212711571274,0.8158710851882423,0.8524706718222764,0.8954438286663502,0.8372093013711704,0.7553181685649525,0.6975609739083879,0.8348827800779277,0.8283033202427001,0.6614048882288486,0.8432983250043691,0.22950815909702307,0.4964705853148789,0.0,0.006191950400495868,0.0,0.5293072730140804,0.0,0.0,0.0,0.0,0.0,4.468091137139724e-05,0.0
p_8,0.973371559802804,0.8026191820513578,0.6652405372870822,0.8249447577584361,0.5462328720356775,0.8120703225368484,0.8515638747302364,0.8268547244982484,0.842293478552517,0.7678589113565254,0.7790314979336355,0.7775867969144489,0.7842553174803079,0.8815377414633134,0.8226504971604044,0.7868366416043977,0.6961695771804776,0.6792143970604386,0.858324144746119,0.4363635570248078,0.33574006917202104,0.787846054170011,0.6598371957537854,0.7783876494181924,0.551894558880605,0.8138254372747572,0.8607389517655532,0.8902295777414685,0.8316649093365847,0.7600329278040411,0.7315041628331598,0.833968532361997,0.8532637053439589,0.6846153793491124,0.8516457598305709,0.04878047590720099,0.3580858056263547,0.0,0.004587155910697753,0.0,0.5153583529802329,0.0,0.0,0.0,0.0,0.0,1.8435039894202707e-05,0.0
p_9,0.9697287547007305,0.8082354161950484,0.6382077947286118,0.8941643025820923,0.3173553666552832,0.8183074793984618,0.8429066123754393,0.8618381005101412,0.863865545181434,0.8077260747956752,0.7524282306228616,0.6978450220181337,0.8125722190603831,0.8953367496041914,0.7701894307450281,0.7916093507853873,0.5539409927171246,0.6818873616294722,0.8293983988645675,0.7157893983379581,0.3317850011162243,0.7953850750939037,0.6322430712161472,0.870858643614888,0.4501940433351353,0.8188202650736046,0.8265986244918684,0.8853219185034648,0.8386953124360511,0.7794186804821572,0.7774786882515059,0.7775170138728972,0.7802104043781336,0.6383307524085723,0.8184402916140939,0.055555540123461075,0.33166332499166673,0.0,0.006329113873978529,0.0,0.5039369979539962,0.0,0.0,0.0,0.0,0.0,4.5424658240702e-05,0.0
