feature,beta,HR,z,p,q05,q10,coverage,events
CTz_label1_p50,0.08745870528737083,1.09139719457887,0.7211178155968675,0.4708370307044236,0.789791148278388,0.789791148278388,128,97
CTz_label1_p90,0.13563126253038096,1.1452595156305059,1.220975450604901,0.22209531491885381,0.7093673927383735,0.7093673927383735,128,97
CTz_label2_p50,0.1665785885252895,1.1812563654184043,1.4162664763323707,0.15669749911294373,0.6267899964517749,0.6267899964517749,128,97
CTz_label2_p90,0.1723833336268922,1.1881331973379057,1.4649341707306085,0.14293887886558942,0.6194018084175542,0.6194018084175542,128,97
CTz_label3_p50,0.053622399241180146,1.0550861256056419,0.49968874460932183,0.6172942589650019,0.8755082062442671,0.8755082062442671,128,97
CTz_label3_p90,0.09074739708120999,1.0949923720515256,0.9333744288678653,0.3506266784188432,0.7361016683825293,0.7361016683825293,128,97
CTz_label4_p50,0.08151049606093728,1.0849246049590042,0.7819608711315627,0.4342375696406586,0.7526784540438083,0.7526784540438083,128,97
CTz_label4_p90,0.08412914532640763,1.0877693650677356,0.802786026665829,0.42209841998990183,0.7526784540438083,0.7526784540438083,128,97
CTz_label5_p50,-0.0224811865242496,0.9777696322655643,-0.23432595091620761,0.8147319407581,0.8755082062442671,0.8755082062442671,128,97
CTz_label5_p90,0.030567905788669233,1.0310399012493148,0.3007015198187219,0.7636421097474209,0.8755082062442671,0.8755082062442671,128,97
CTz_label6_p50,0.07363232515761947,1.076410963498766,0.6204378060406653,0.534969588610152,0.8429823820523606,0.8429823820523606,128,97
CTz_label6_p90,0.22119766037831565,1.247570001353067,1.6601911340194342,0.09687600767914573,0.6194018084175542,0.6194018084175542,128,97
CTz_label7_p50,-0.025891313058689136,0.974440992864497,-0.22693839612052244,0.8204716450656513,0.8755082062442671,0.8755082062442671,128,97
CTz_label7_p90,-0.007564071364677547,0.9924644642293752,-0.044307911605246934,0.964658965320635,0.9646589653206349,0.9646589653206349,128,97
CTz_label8_p50,-0.12349694265417042,0.8838243433966181,-0.9916135897182832,0.32138605746239146,0.7361016683825293,0.7361016683825293,128,97
CTz_label8_p90,-0.031393508358323885,0.9690941513860631,-0.19954708712274002,0.8418348136964107,0.8755082062442671,0.8755082062442671,128,97
CTz_label9_p50,-0.04165302359826748,0.9592025434857783,-0.26545224504433085,0.7906610934785443,0.8755082062442671,0.8755082062442671,128,97
CTz_label9_p90,0.07208668776205913,1.0747485075685848,0.4544945330592715,0.6494729258832641,0.8755082062442671,0.8755082062442671,128,97
CTz_label10_p50,0.04826430508335421,1.0494479931112577,0.4013585355773953,0.6881561727369245,0.8755082062442671,0.8755082062442671,128,97
CTz_label10_p90,0.03669655848756509,1.0373781894673402,0.3095853560083829,0.7568762937600737,0.8755082062442671,0.8755082062442671,128,97
CTz_label11_p50,0.17341008778746264,1.1893537445353133,1.4681109030731885,0.14207410042349045,0.6194018084175542,0.6194018084175542,128,97
CTz_label11_p90,0.2234643368355601,1.2504010462231596,1.481607680710679,0.13844471414314552,0.6194018084175542,0.6194018084175542,128,97
CTz_label12_p50,0.1519722953655953,1.164127984245143,1.1596792818590624,0.24617940846754083,0.7093673927383735,0.7093673927383735,128,97
CTz_label12_p90,0.16787387560611425,1.1827874228930928,1.1232467746621302,0.26133270205666403,0.7093673927383735,0.7093673927383735,128,97
CTz_label13_p50,-0.06719087868390436,0.935016709543233,-0.5821564999384448,0.5604612709585062,0.8571760614659506,0.8571760614659506,128,97
CTz_label13_p90,-0.032446280822231846,0.9680744525981326,-0.23876181163496707,0.8112902837612743,0.8755082062442671,0.8755082062442671,128,97
CTz_label14_p50,0.10209967629574614,1.1074938571116775,0.9496129168508982,0.34230897273895255,0.7361016683825293,0.7361016683825293,128,97
CTz_label14_p90,0.11779762650672922,1.125016414826392,1.1351267433411047,0.2563222177722704,0.7093673927383735,0.7093673927383735,128,97
CTz_label15_p50,0.11883453678392489,1.1261835609172528,1.0680054324722357,0.2855180613057524,0.7093673927383735,0.7093673927383735,128,97
CTz_label15_p90,0.13191526222582164,1.1410116283849068,1.1720155482033272,0.24119081382754004,0.7093673927383735,0.7093673927383735,128,97
SUVz_label1_p50,-0.12236977199196332,0.8848211259335198,-1.065885745992134,0.2864752932212662,0.7093673927383735,0.7093673927383735,128,97
SUVz_label1_p90,-0.08728705012301205,0.9164140011225508,-0.7848058285958991,0.43256742222213784,0.7526784540438083,0.7526784540438083,128,97
